Município;neventos;popresidente;eventos1000hab;%ev/pop;txanalf;txdesemp;indpcomp;%popid(15-65);medenf;medenf/pop
Ribeira de Pena;9;6544;1.4;0.001;15.8;15.6;50.8;0.61;12;0.002
Valpaços;33;16882;2;0.002;12.7;12.1;54.6;0.58;31;0.002
Vila Pouca de Aguiar;30;13187;2.3;0.002;9.6;13.8;62.4;0.62;30;0.002
Amarante;123;56264;2.2;0.002;7.3;14;69.1;0.68;82;0.001
Baião;60;20522;2.9;0.003;10.2;19.4;52.6;0.66;34;0.002
Castelo de Paiva;33;16733;2;0.002;5.7;17.1;58.9;0.68;19;0.001
Celorico de Basto;17;20098;0.8;0.001;10;16.3;49.8;0.66;43;0.002
Cinfães;37;20427;1.8;0.002;9.4;20;49.9;0.65;30;0.001
Felgueiras;96;58065;1.7;0.002;5.1;10.3;73.6;0.7;72;0.001
Lousada;82;47387;1.7;0.002;5.1;13.2;64.6;0.7;57;0.001
Marco de Canaveses;111;53450;2.1;0.002;5.6;16.3;70.5;0.69;46;0.001
Paços de Ferreira;100;56340;1.8;0.002;3.8;14.3;71.6;0.71;76;0.001
Penafiel;125;72265;1.7;0.002;5.4;12.4;69.6;0.7;96;0.001
Resende;34;11364;3;0.003;13.6;13.1;54.7;0.64;18;0.002
Alijó;18;11942;1.5;0.002;10.5;12.5;60.9;0.61;23;0.002
Armamar;3;6297;0.5;0;9.8;11.5;58.4;0.61;11;0.002
Carrazeda de Ansiães;13;6373;2;0.002;11.3;11.7;54.6;0.58;14;0.002
Freixo de Espada à Cinta;14;3780;3.7;0.004;14.9;11.2;57;0.54;10;0.003
Lamego;36;26691;1.3;0.001;7.6;14.5;79.4;0.66;43;0.002
Mesão Frio;33;4433;7.4;0.007;10.3;17.8;57.8;0.66;9;0.002
Moimenta da Beira;16;10212;1.6;0.002;8.3;10;63.1;0.62;15;0.001
Murça;16;5952;2.7;0.003;11;12.2;57.6;0.61;14;0.002
Penedono;6;2952;2;0.002;10.9;8.9;56.5;0.59;4;0.001
Peso da Régua;34;17131;2;0.002;7.7;14.2;79.2;0.67;32;0.002
Sabrosa;22;6361;3.5;0.003;10.8;12.9;60.3;0.61;12;0.002
Santa Marta de Penaguião;11;7356;1.5;0.001;12.6;13.6;55.7;0.63;13;0.002
São João da Pesqueira;10;7874;1.3;0.001;9.8;9.5;57.9;0.63;14;0.002
Sernancelhe;19;5671;3.4;0.003;9.5;11.4;54.3;0.61;7;0.001
Tabuaço;9;6350;1.4;0.001;8.6;12.5;50.9;0.64;9;0.001
Tarouca;11;8048;1.4;0.001;8.7;11.7;63.6;0.65;18;0.002
Torre de Moncorvo;31;8572;3.6;0.004;12.6;10;61;0.57;20;0.002
Vila Nova de Foz Côa;15;7312;2.1;0.002;11.1;8.6;63.6;0.58;22;0.003
Vila Real;94;51850;1.8;0.002;5.5;11;101.5;0.67;93;0.002
Alfândega da Fé;9;5104;1.8;0.002;11.6;13.2;57.1;0.58;14;0.003
Bragança;74;35341;2.1;0.002;7.9;9.9;96.5;0.64;79;0.002
Macedo de Cavaleiros;25;15776;1.6;0.002;10.4;10.2;69.5;0.6;31;0.002
Miranda do Douro;17;7482;2.3;0.002;11.3;9.4;68.3;0.58;23;0.003
Mirandela;73;23850;3.1;0.003;9;12.2;80.4;0.63;62;0.003
Mogadouro;18;9542;1.9;0.002;11.8;11.7;59.9;0.58;31;0.003
Vila Flor;17;6697;2.5;0.003;10.8;11.8;60.2;0.6;14;0.002
Vimioso;6;4669;1.3;0.001;16.1;10.4;54.4;0.53;14;0.003
Vinhais;12;9066;1.3;0.001;14.6;11.5;51.3;0.55;21;0.002
Alcobaça;112;56693;2;0.002;6.2;11;83.4;0.65;71;0.001
Alenquer;94;43267;2.2;0.002;6.1;10.9;92.6;0.66;36;0.001
Arruda dos Vinhos;10;13391;0.7;0.001;5.5;7.7;93.4;0.64;16;0.001
Bombarral;29;13193;2.2;0.002;6.4;11.8;77.7;0.63;15;0.001
Cadaval;34;14228;2.4;0.002;7.7;10.5;71.1;0.6;15;0.001
Caldas da Rainha;41;51729;0.8;0.001;5.6;13.7;100.5;0.65;76;0.001
